iter	Passed	Remaining
0	155	38808
1	221	27465
2	278	22896
3	349	21487
4	383	18805
5	404	16431
6	418	14531
7	436	13215
8	459	12313
9	483	11609
10	541	11761
11	592	11751
12	656	11965
13	700	11804
14	727	11393
15	752	10998
16	790	10834
17	845	10895
18	895	10891
19	1051	12096
20	1156	12613
21	1281	13281
22	1438	14198
23	1570	14787
24	1658	14923
25	1744	15029
26	1867	15427
27	2011	15950
28	2117	16139
29	2215	16247
30	2363	16698
31	2439	16617
32	2505	16476
33	2586	16432
34	2680	16463
35	2699	16044
36	2708	15589
37	2727	15215
38	2747	14864
39	2763	14510
40	2784	14193
41	2799	13865
42	2817	13565
43	2839	13295
44	2858	13022
45	2872	12737
46	2888	12475
47	2907	12236
48	2919	11977
49	2939	11758
50	2951	11517
51	2969	11306
52	2994	11130
53	3013	10937
54	3029	10740
55	3053	10579
56	3071	10398
57	3085	10212
58	3099	10034
59	3118	9875
60	3133	9708
61	3162	9588
62	3181	9442
63	3203	9311
64	3225	9180
65	3234	9017
66	3248	8873
67	3262	8732
68	3276	8595
69	3294	8472
70	3310	8346
71	3335	8245
72	3352	8129
73	3368	8010
74	3380	7886
75	3398	7781
76	3419	7681
77	3436	7578
78	3460	7490
79	3483	7401
80	3499	7300
81	3528	7229
82	3556	7155
83	3566	7048
84	3581	6952
85	3592	6850
86	3607	6758
87	3621	6666
88	3630	6566
89	3643	6477
90	3659	6393
91	3671	6305
92	3686	6223
93	3702	6144
94	3714	6060
95	3729	5982
96	3744	5905
97	3759	5831
98	3772	5754
99	3790	5685
100	3815	5629
101	3841	5573
102	3857	5505
103	3872	5436
104	3889	5371
105	3911	5314
106	3932	5255
107	3937	5177
108	3943	5101
109	3958	5038
110	3970	4972
111	3990	4917
112	4015	4868
113	4029	4807
114	4042	4745
115	4049	4678
116	4054	4609
117	4058	4540
118	4063	4472
119	4068	4407
120	4074	4344
121	4089	4290
122	4099	4232
123	4113	4180
124	4127	4127
125	4137	4071
126	4151	4020
127	4171	3976
128	4187	3927
129	4199	3876
130	4213	3827
131	4229	3781
132	4255	3743
133	4284	3709
134	4302	3665
135	4310	3612
136	4318	3562
137	4325	3510
138	4329	3457
139	4340	3410
140	4350	3362
141	4354	3312
142	4359	3261
143	4367	3214
144	4375	3168
145	4388	3126
146	4395	3079
147	4406	3037
148	4421	2996
149	4431	2954
150	4436	2908
151	4441	2863
152	4446	2819
153	4451	2774
154	4455	2731
155	4460	2687
156	4465	2644
157	4469	2602
158	4473	2560
159	4478	2519
160	4482	2477
161	4489	2438
162	4495	2399
163	4501	2360
164	4510	2323
165	4517	2286
166	4527	2250
167	4534	2213
168	4543	2177
169	4554	2143
170	4565	2109
171	4574	2074
172	4591	2043
173	4599	2008
174	4613	1977
175	4625	1944
176	4638	1912
177	4645	1878
178	4650	1844
179	4656	1810
180	4660	1776
181	4664	1742
182	4667	1708
183	4672	1675
184	4675	1642
185	4679	1609
186	4682	1577
187	4686	1545
188	4690	1513
189	4693	1482
190	4697	1450
191	4700	1419
192	4704	1389
193	4708	1359
194	4711	1328
195	4715	1299
196	4719	1269
197	4722	1240
198	4726	1211
199	4729	1182
200	4732	1153
201	4737	1125
202	4740	1097
203	4744	1069
204	4747	1042
205	4751	1014
206	4754	987
207	4757	960
208	4761	934
209	4765	907
210	4768	881
211	4772	855
212	4778	830
213	4781	804
214	4785	779
215	4789	753
216	4793	728
217	4797	704
218	4801	679
219	4804	655
220	4808	630
221	4811	606
222	4815	583
223	4818	559
224	4822	535
225	4825	512
226	4829	489
227	4833	466
228	4836	443
229	4839	420
230	4843	398
231	4846	376
232	4850	353
233	4854	331
234	4858	310
235	4861	288
236	4864	266
237	4868	245
238	4870	224
239	4873	203
240	4876	182
241	4880	161
242	4882	140
243	4885	120
244	4889	99
245	4892	79
246	4895	59
247	4898	39
248	4901	19
249	4904	0
