applicant_id,age,occupation_type,monthly_upi_txn_count,monthly_upi_turnover,avg_daily_balance,cashflow_volatility,utility_payment_reliability,rent_payment_reliability,months_of_transaction_history,requested_loan_amount,alternate_credit_score,approved
THIN-000000,20,Shopkeeper,220,22300.0,7330.0,0.309,0.843,0.609,45,108000.0,530,1
THIN-000001,33,Vendor,350,70000.0,10590.0,0.171,0.828,0.57,7,173000.0,537,1
THIN-000002,53,Vendor,27,75200.0,6030.0,0.421,0.771,0.674,21,249000.0,446,1
THIN-000003,43,Gig Worker,224,164100.0,8240.0,0.237,0.88,0.506,17,5000.0,524,1
THIN-000004,20,Vendor,223,42600.0,13270.0,0.112,0.871,0.759,41,139000.0,637,1
THIN-000005,35,Vendor,376,166200.0,6920.0,0.331,0.631,0.355,37,88000.0,523,1
THIN-000006,40,Gig Worker,451,49900.0,13990.0,0.303,0.659,0.848,58,28000.0,573,1
THIN-000007,44,Shopkeeper,353,56900.0,13460.0,0.63,0.886,0.704,30,48000.0,501,1
THIN-000008,55,Vendor,247,65400.0,12140.0,0.288,0.522,0.801,42,69000.0,537,1
THIN-000009,45,Vendor,737,117000.0,13950.0,0.563,0.733,0.572,33,58000.0,503,1
THIN-000010,43,Gig Worker,567,7700.0,17420.0,0.173,0.742,0.293,40,131000.0,560,1
THIN-000011,19,Shopkeeper,307,7800.0,12360.0,0.36,0.928,0.392,4,147000.0,430,1
THIN-000012,38,Vendor,269,8800.0,930.0,0.563,0.642,0.579,27,12000.0,416,0
THIN-000013,50,Vendor,575,131000.0,8500.0,0.457,0.844,0.761,52,172000.0,556,1
THIN-000014,31,Vendor,376,80000.0,4020.0,0.157,0.825,0.836,54,69000.0,640,1
THIN-000015,59,Freelancer,501,5000.0,9840.0,0.287,0.788,0.887,5,61000.0,490,0
THIN-000016,19,Gig Worker,158,77100.0,7830.0,0.047,0.474,0.753,45,8000.0,625,1
THIN-000017,39,Freelancer,724,67500.0,16180.0,0.677,0.627,0.557,55,227000.0,479,1
THIN-000018,25,Gig Worker,771,169400.0,17750.0,0.36,0.834,0.78,42,244000.0,585,1
THIN-000019,23,Shopkeeper,597,15400.0,18930.0,0.284,0.851,0.586,56,114000.0,565,1
THIN-000020,29,Shopkeeper,433,79100.0,13420.0,0.1,0.902,0.665,5,140000.0,595,1
THIN-000021,55,Gig Worker,449,98400.0,200.0,0.016,0.677,0.622,24,82000.0,646,1
THIN-000022,21,Shopkeeper,98,71000.0,12190.0,0.516,0.904,0.67,23,5000.0,461,1
THIN-000023,44,Shopkeeper,304,42800.0,25970.0,0.039,0.951,0.356,30,40000.0,654,1
THIN-000024,20,Freelancer,402,39600.0,6320.0,0.585,0.759,0.604,13,71000.0,440,0
THIN-000025,34,Freelancer,633,33000.0,2420.0,0.551,0.628,0.69,6,143000.0,413,0
THIN-000026,50,Freelancer,125,77300.0,5050.0,0.522,0.835,0.816,46,136000.0,498,1
THIN-000027,48,Vendor,523,9900.0,12660.0,0.048,0.842,0.432,23,117000.0,620,1
THIN-000028,28,Gig Worker,279,141800.0,200.0,0.279,0.816,0.562,12,54000.0,482,1
THIN-000029,57,Vendor,135,177600.0,200.0,0.196,0.875,0.938,38,219000.0,593,1
THIN-000030,31,Gig Worker,789,77900.0,200.0,0.212,0.776,0.77,25,259000.0,564,1
THIN-000031,42,Shopkeeper,720,51700.0,8910.0,0.375,0.889,0.763,9,139000.0,501,1
THIN-000032,52,Shopkeeper,303,116800.0,10000.0,0.201,0.649,0.856,54,151000.0,601,1
THIN-000033,19,Vendor,162,6600.0,7330.0,0.21,0.758,0.6,7,242000.0,459,1
THIN-000034,32,Vendor,259,62700.0,8590.0,0.244,0.719,0.829,37,13000.0,576,1
THIN-000035,24,Gig Worker,99,136300.0,15630.0,0.144,0.822,0.588,5,186000.0,518,1
THIN-000036,45,Vendor,164,66100.0,3420.0,0.298,0.56,0.492,23,236000.0,459,1
THIN-000037,51,Shopkeeper,293,96700.0,10450.0,0.111,0.562,0.764,26,49000.0,598,1
THIN-000038,47,Shopkeeper,385,75900.0,200.0,0.207,0.789,0.51,48,141000.0,569,1
THIN-000039,20,Vendor,330,112000.0,8310.0,0.265,0.851,0.849,33,210000.0,594,1
THIN-000040,27,Gig Worker,263,95700.0,200.0,0.511,0.861,0.904,41,5000.0,516,1
THIN-000041,53,Shopkeeper,383,44900.0,2770.0,0.324,0.819,0.793,18,209000.0,521,1
THIN-000042,42,Shopkeeper,64,129000.0,24130.0,0.079,0.726,0.458,21,12000.0,567,1
THIN-000043,35,Vendor,112,51600.0,12830.0,0.257,0.881,0.896,12,143000.0,513,1
THIN-000044,26,Vendor,347,106400.0,7930.0,0.194,0.747,0.78,47,105000.0,612,1
THIN-000045,20,Vendor,579,158600.0,26650.0,0.041,0.905,0.785,44,157000.0,731,1
THIN-000046,27,Gig Worker,161,12400.0,1630.0,0.329,0.784,0.774,50,111000.0,509,1
THIN-000047,23,Gig Worker,711,152000.0,19480.0,0.01,0.736,0.701,50,251000.0,724,1
THIN-000048,33,Shopkeeper,609,105300.0,12300.0,0.19,0.952,0.811,6,180000.0,575,1
THIN-000049,53,Freelancer,94,107400.0,1680.0,0.117,0.661,0.622,30,93000.0,564,1
THIN-000050,34,Vendor,151,134200.0,8470.0,0.136,0.759,0.584,9,9000.0,529,1
THIN-000051,42,Vendor,549,97000.0,10440.0,0.528,0.848,0.935,11,204000.0,495,0
THIN-000052,58,Shopkeeper,153,78800.0,2430.0,0.389,0.763,0.511,8,98000.0,419,0
THIN-000053,54,Freelancer,766,153000.0,14280.0,0.292,0.624,0.813,56,200000.0,582,1
THIN-000054,57,Vendor,543,184500.0,20420.0,0.6,0.741,0.793,31,14000.0,521,1
THIN-000055,46,Vendor,260,54800.0,5980.0,0.326,0.617,0.702,6,54000.0,448,0
THIN-000056,37,Vendor,294,92500.0,16690.0,0.243,0.771,0.851,36,78000.0,597,1
THIN-000057,53,Freelancer,307,6500.0,13640.0,0.104,0.695,0.595,37,15000.0,599,1
THIN-000058,33,Shopkeeper,250,75500.0,18120.0,0.412,0.98,0.881,17,5000.0,519,1
THIN-000059,29,Shopkeeper,661,170300.0,8160.0,0.314,0.621,0.641,18,6000.0,512,1
THIN-000060,39,Shopkeeper,270,118600.0,15590.0,0.176,0.863,0.899,45,136000.0,637,1
THIN-000061,21,Vendor,233,53600.0,14730.0,0.35,0.778,0.419,40,95000.0,510,1
THIN-000062,30,Shopkeeper,747,112100.0,17360.0,0.178,0.785,0.884,28,235000.0,626,1
THIN-000063,42,Shopkeeper,337,5000.0,8750.0,0.461,0.896,0.907,39,315000.0,528,1
THIN-000064,37,Vendor,84,45100.0,13190.0,0.241,0.79,0.612,30,71000.0,522,1
THIN-000065,21,Shopkeeper,203,64100.0,8100.0,0.25,0.877,0.682,16,17000.0,519,1
THIN-000066,27,Shopkeeper,479,90900.0,11580.0,0.142,0.657,0.798,39,172000.0,636,1
THIN-000067,26,Shopkeeper,74,13600.0,1490.0,0.135,0.799,0.495,35,301000.0,544,1
THIN-000068,53,Shopkeeper,708,28200.0,200.0,0.425,0.656,0.566,55,130000.0,486,1
THIN-000069,50,Shopkeeper,774,5000.0,14150.0,0.461,0.607,0.602,4,39000.0,401,0
THIN-000070,23,Vendor,99,22800.0,200.0,0.529,0.479,0.871,51,242000.0,428,1
THIN-000071,40,Gig Worker,699,96200.0,10190.0,0.155,0.936,0.333,15,65000.0,566,1
THIN-000072,37,Vendor,277,56600.0,13580.0,0.326,0.679,0.856,18,160000.0,507,1
THIN-000073,55,Shopkeeper,772,5000.0,23800.0,0.31,0.84,0.75,4,131000.0,479,1
THIN-000074,27,Shopkeeper,158,143200.0,200.0,0.127,0.708,0.959,51,227000.0,610,1
THIN-000075,41,Shopkeeper,224,71100.0,4490.0,0.108,0.753,0.936,36,127000.0,642,1
THIN-000076,26,Shopkeeper,420,131300.0,10640.0,0.62,0.93,0.923,19,79000.0,514,1
THIN-000077,44,Gig Worker,36,48100.0,200.0,0.275,0.698,0.631,47,120000.0,488,1
THIN-000078,38,Freelancer,418,26200.0,23860.0,0.239,0.914,0.853,31,124000.0,606,1
THIN-000079,36,Gig Worker,168,97400.0,11730.0,0.277,0.804,0.456,55,55000.0,533,1
THIN-000080,34,Vendor,109,84900.0,7970.0,0.12,0.65,0.595,32,386000.0,572,1
THIN-000081,47,Vendor,105,128400.0,10160.0,0.414,0.447,0.632,21,91000.0,428,0
THIN-000082,55,Gig Worker,189,116700.0,10490.0,0.208,0.498,0.625,36,127000.0,544,1
THIN-000083,30,Vendor,712,107600.0,200.0,0.259,0.821,0.789,4,156000.0,504,1
THIN-000084,26,Shopkeeper,555,98000.0,19300.0,0.246,0.718,0.487,21,190000.0,537,1
THIN-000085,34,Gig Worker,360,5000.0,200.0,0.17,0.649,0.758,12,23000.0,498,1
THIN-000086,45,Gig Worker,116,65100.0,200.0,0.202,0.892,0.594,15,288000.0,495,1
THIN-000087,59,Vendor,98,132000.0,200.0,0.223,0.772,0.668,54,156000.0,538,1
THIN-000088,37,Vendor,727,151200.0,200.0,0.41,0.908,0.577,26,135000.0,512,1
THIN-000089,27,Gig Worker,179,147200.0,10750.0,0.34,0.908,0.66,31,156000.0,537,1
THIN-000090,35,Vendor,576,5000.0,200.0,0.161,0.493,0.615,58,58000.0,538,1
THIN-000091,41,Vendor,745,76000.0,1080.0,0.124,0.908,0.709,18,130000.0,604,1
THIN-000092,49,Freelancer,443,58400.0,200.0,0.15,0.783,0.863,26,289000.0,600,1
THIN-000093,40,Gig Worker,175,41000.0,800.0,0.151,0.893,0.551,38,5000.0,578,1
THIN-000094,54,Shopkeeper,651,142600.0,1630.0,0.37,0.907,0.633,26,91000.0,537,1
THIN-000095,56,Vendor,67,62300.0,12770.0,0.265,0.864,0.702,3,229000.0,464,1
THIN-000096,31,Shopkeeper,651,101500.0,14520.0,0.319,0.752,0.369,7,5000.0,471,1
THIN-000097,36,Vendor,365,93200.0,3160.0,0.136,0.462,0.397,47,59000.0,569,1
THIN-000098,19,Vendor,238,114300.0,560.0,0.147,0.852,0.275,18,21000.0,524,1
THIN-000099,25,Shopkeeper,139,77200.0,11310.0,0.352,0.655,0.772,41,143000.0,516,1
THIN-000100,54,Shopkeeper,274,66900.0,7300.0,0.124,0.658,0.846,31,152000.0,612,1
THIN-000101,55,Shopkeeper,91,23100.0,15020.0,0.096,0.549,0.76,29,140000.0,567,1
THIN-000102,45,Freelancer,300,221700.0,10580.0,0.311,0.853,0.615,16,8000.0,520,1
THIN-000103,30,Freelancer,658,70200.0,4270.0,0.43,0.838,0.781,42,82000.0,552,1
THIN-000104,23,Shopkeeper,88,31600.0,9510.0,0.178,0.855,0.841,40,151000.0,585,1
THIN-000105,48,Shopkeeper,529,76400.0,18540.0,0.082,0.531,0.44,47,152000.0,623,1
THIN-000106,44,Vendor,312,164400.0,2820.0,0.374,0.803,0.816,54,181000.0,557,1
THIN-000107,50,Vendor,65,172200.0,10180.0,0.108,0.783,0.694,18,109000.0,569,1
THIN-000108,39,Vendor,174,13700.0,200.0,0.237,0.69,0.713,27,77000.0,492,1
THIN-000109,24,Vendor,113,90700.0,200.0,0.304,0.365,0.723,56,142000.0,469,1
THIN-000110,55,Freelancer,330,103300.0,200.0,0.064,0.695,0.858,24,54000.0,627,1
THIN-000111,56,Gig Worker,788,116200.0,780.0,0.054,0.919,0.833,31,5000.0,693,1
THIN-000112,36,Vendor,536,105400.0,19850.0,0.154,0.892,0.306,16,5000.0,566,1
THIN-000113,22,Vendor,123,129600.0,510.0,0.478,0.817,0.239,46,174000.0,445,1
THIN-000114,25,Gig Worker,410,93600.0,8610.0,0.205,0.757,0.689,41,166000.0,608,1
THIN-000115,55,Vendor,163,56600.0,1500.0,0.498,0.57,0.74,20,63000.0,422,0
THIN-000116,41,Gig Worker,636,77900.0,24090.0,0.354,0.644,0.516,41,184000.0,535,1
THIN-000117,53,Vendor,81,49900.0,8290.0,0.158,0.558,0.873,6,71000.0,493,1
THIN-000118,59,Shopkeeper,590,131300.0,10910.0,0.219,0.91,0.586,38,74000.0,615,1
THIN-000119,43,Gig Worker,786,5000.0,10170.0,0.389,0.813,0.967,12,264000.0,490,1
THIN-000120,44,Gig Worker,191,147700.0,200.0,0.083,0.87,0.989,37,97000.0,660,1
THIN-000121,36,Vendor,621,5000.0,12340.0,0.146,0.736,0.769,58,142000.0,608,1
THIN-000122,56,Gig Worker,55,5000.0,8260.0,0.192,0.701,0.789,9,165000.0,464,1
THIN-000123,36,Freelancer,403,53600.0,12530.0,0.183,0.711,0.388,9,321000.0,513,1
THIN-000124,54,Freelancer,421,85100.0,18450.0,0.064,0.833,0.804,23,162000.0,668,1
THIN-000125,22,Shopkeeper,152,39400.0,13940.0,0.342,0.944,0.808,3,115000.0,467,1
THIN-000126,43,Vendor,630,50600.0,15440.0,0.104,0.688,0.894,57,79000.0,663,1
THIN-000127,43,Vendor,794,5000.0,3850.0,0.045,0.65,0.587,7,283000.0,561,1
THIN-000128,26,Gig Worker,436,152200.0,20060.0,0.342,0.693,0.771,26,238000.0,548,1
THIN-000129,21,Gig Worker,771,47700.0,200.0,0.319,0.629,0.713,28,71000.0,508,1
THIN-000130,51,Shopkeeper,538,86300.0,13280.0,0.167,0.794,0.664,35,134000.0,625,1
THIN-000131,28,Vendor,153,94900.0,12470.0,0.083,0.659,0.687,57,109000.0,622,1
THIN-000132,59,Gig Worker,56,154500.0,14980.0,0.535,0.499,0.622,9,208000.0,378,0
THIN-000133,30,Gig Worker,742,77100.0,1460.0,0.213,0.933,0.486,18,183000.0,549,1
THIN-000134,50,Shopkeeper,769,95400.0,5490.0,0.221,0.477,0.79,29,125000.0,560,1
THIN-000135,24,Freelancer,326,5000.0,12160.0,0.327,0.868,0.708,14,267000.0,484,1
THIN-000136,47,Shopkeeper,253,132200.0,200.0,0.098,0.774,0.619,37,67000.0,615,1
THIN-000137,52,Vendor,181,40500.0,32440.0,0.12,0.849,0.82,53,211000.0,634,1
THIN-000138,45,Freelancer,266,185300.0,24280.0,0.15,0.812,0.508,30,84000.0,600,1
THIN-000139,36,Vendor,438,124700.0,9230.0,0.338,0.668,0.706,14,96000.0,504,1
THIN-000140,24,Shopkeeper,342,87100.0,13620.0,0.072,0.724,0.611,37,108000.0,656,1
THIN-000141,25,Gig Worker,626,38400.0,11230.0,0.224,0.728,0.747,48,209000.0,594,1
THIN-000142,39,Vendor,532,110000.0,5180.0,0.033,0.371,0.531,57,50000.0,641,1
THIN-000143,41,Vendor,769,119600.0,11750.0,0.357,0.611,0.924,29,38000.0,550,1
THIN-000144,59,Freelancer,420,41800.0,17930.0,0.115,0.74,0.625,40,187000.0,637,1
THIN-000145,29,Gig Worker,452,98500.0,200.0,0.203,0.801,0.712,10,216000.0,530,1
THIN-000146,42,Gig Worker,602,70700.0,2540.0,0.264,0.832,0.787,22,164000.0,558,1
THIN-000147,38,Gig Worker,619,61100.0,5770.0,0.235,0.768,0.609,7,183000.0,511,1
THIN-000148,27,Vendor,439,70500.0,200.0,0.241,0.817,0.536,27,181000.0,540,1
THIN-000149,58,Gig Worker,361,82200.0,16790.0,0.085,0.957,0.591,38,14000.0,676,1
THIN-000150,27,Freelancer,158,174000.0,6000.0,0.195,0.554,0.324,40,210000.0,525,1
THIN-000151,27,Shopkeeper,617,58800.0,12850.0,0.442,0.659,0.476,33,222000.0,499,1
THIN-000152,51,Shopkeeper,752,165000.0,6590.0,0.167,0.817,0.926,4,100000.0,577,1
THIN-000153,25,Vendor,372,56000.0,7060.0,0.454,0.466,0.914,26,45000.0,489,1
THIN-000154,34,Vendor,210,93100.0,24930.0,0.507,0.813,0.557,6,5000.0,424,0
THIN-000155,57,Vendor,510,62800.0,3980.0,0.13,0.688,0.853,18,166000.0,595,1
THIN-000156,53,Gig Worker,439,166100.0,12280.0,0.07,0.546,0.865,16,85000.0,626,1
THIN-000157,58,Gig Worker,402,61500.0,15110.0,0.326,0.975,0.77,10,141000.0,531,1
THIN-000158,52,Vendor,432,87800.0,7570.0,0.234,0.843,0.949,24,77000.0,598,1
THIN-000159,50,Gig Worker,558,101400.0,200.0,0.293,0.77,0.479,6,155000.0,464,1
THIN-000160,30,Gig Worker,516,17800.0,16300.0,0.288,0.963,0.673,26,44000.0,559,1
THIN-000161,52,Shopkeeper,221,29800.0,200.0,0.125,0.677,0.688,36,41000.0,575,1
THIN-000162,44,Shopkeeper,122,106700.0,6570.0,0.413,0.551,0.743,59,200000.0,486,1
THIN-000163,47,Shopkeeper,278,108400.0,29070.0,0.261,0.822,0.627,21,127000.0,541,1
THIN-000164,33,Shopkeeper,22,5000.0,6640.0,0.308,0.685,0.807,15,242000.0,431,0
THIN-000165,46,Freelancer,621,106300.0,15340.0,0.256,0.972,0.755,31,193000.0,610,1
THIN-000166,56,Vendor,693,5000.0,200.0,0.155,0.585,0.534,47,136000.0,543,1
THIN-000167,50,Freelancer,261,5000.0,200.0,0.207,0.714,0.67,31,5000.0,514,1
THIN-000168,30,Shopkeeper,208,230900.0,10570.0,0.23,0.784,0.833,50,117000.0,596,1
THIN-000169,25,Freelancer,149,81700.0,8110.0,0.384,0.531,0.608,11,126000.0,418,0
THIN-000170,55,Vendor,385,111100.0,14070.0,0.254,0.715,0.547,3,71000.0,492,1
THIN-000171,40,Vendor,727,68400.0,7240.0,0.1,0.706,0.492,57,138000.0,630,1
THIN-000172,38,Gig Worker,515,49800.0,21500.0,0.015,0.898,0.738,15,27000.0,677,1
THIN-000173,29,Freelancer,277,138500.0,5430.0,0.489,0.848,0.588,43,62000.0,514,1
THIN-000174,45,Vendor,297,5000.0,2590.0,0.244,0.846,0.67,26,5000.0,521,1
THIN-000175,37,Shopkeeper,762,111400.0,10610.0,0.232,0.825,0.627,28,5000.0,582,1
THIN-000176,37,Shopkeeper,481,27000.0,20280.0,0.249,0.871,0.758,5,75000.0,523,1
THIN-000177,23,Freelancer,493,176700.0,1100.0,0.488,0.676,0.822,54,97000.0,529,1
THIN-000178,36,Shopkeeper,372,170800.0,200.0,0.118,0.955,0.612,46,5000.0,645,1
THIN-000179,39,Shopkeeper,334,90100.0,14420.0,0.361,0.895,0.959,52,59000.0,589,1
THIN-000180,36,Shopkeeper,137,48800.0,12780.0,0.207,0.661,0.67,21,241000.0,513,1
THIN-000181,46,Vendor,702,119500.0,8020.0,0.363,0.741,0.734,31,5000.0,549,1
THIN-000182,34,Shopkeeper,500,170800.0,6310.0,0.145,0.856,0.774,6,5000.0,583,1
THIN-000183,46,Vendor,128,14600.0,19980.0,0.265,0.751,0.789,56,50000.0,537,1
THIN-000184,54,Gig Worker,75,82900.0,6190.0,0.554,0.876,0.765,33,129000.0,480,1
THIN-000185,52,Vendor,716,137400.0,2960.0,0.086,0.683,0.738,27,165000.0,638,1
THIN-000186,55,Shopkeeper,670,115700.0,11800.0,0.135,0.496,0.757,38,164000.0,621,1
THIN-000187,27,Shopkeeper,369,41000.0,11750.0,0.132,0.896,0.643,38,163000.0,640,1
THIN-000188,55,Vendor,721,70800.0,12730.0,0.08,0.592,0.683,25,64000.0,622,1
THIN-000189,49,Shopkeeper,420,92500.0,2850.0,0.211,0.798,0.537,9,125000.0,522,1
THIN-000190,53,Shopkeeper,262,143800.0,21500.0,0.181,0.812,0.692,31,147000.0,601,1
THIN-000191,23,Vendor,84,30700.0,17960.0,0.278,0.747,0.713,59,222000.0,526,1
THIN-000192,22,Gig Worker,171,5000.0,6180.0,0.194,0.985,0.811,44,173000.0,580,1
THIN-000193,28,Shopkeeper,776,159500.0,14350.0,0.29,0.773,0.669,33,90000.0,578,1
THIN-000194,42,Vendor,260,110900.0,14770.0,0.393,0.637,0.664,39,256000.0,518,1
THIN-000195,40,Shopkeeper,459,152100.0,19220.0,0.372,0.937,0.671,37,69000.0,582,1
THIN-000196,25,Freelancer,491,45100.0,10110.0,0.362,0.658,0.363,30,226000.0,494,1
THIN-000197,20,Freelancer,266,116700.0,15960.0,0.516,0.597,0.806,8,130000.0,434,0
THIN-000198,46,Freelancer,176,93600.0,9350.0,0.426,0.815,0.499,30,63000.0,483,1
THIN-000199,31,Gig Worker,80,52300.0,200.0,0.201,0.888,0.837,52,158000.0,562,1
THIN-000200,50,Vendor,169,12700.0,830.0,0.316,0.863,0.492,27,282000.0,471,1
THIN-000201,19,Vendor,717,32900.0,10130.0,0.064,0.542,0.603,50,389000.0,637,1
THIN-000202,45,Vendor,611,97000.0,12700.0,0.264,0.879,0.771,58,179000.0,609,1
THIN-000203,50,Vendor,714,99100.0,11080.0,0.066,0.499,0.861,22,284000.0,632,1
THIN-000204,30,Gig Worker,533,90200.0,19560.0,0.124,0.803,0.728,48,131000.0,658,1
THIN-000205,43,Vendor,254,8700.0,200.0,0.43,0.806,0.62,58,38000.0,472,1
