applicant_id,age,employment_type,annual_income,years_employed,cibil_score,existing_loans_count,existing_emi_monthly,requested_loan_amount,loan_tenure_months,dependents,dti_ratio,previous_default,savings_balance,approved
TRAD-000000,24,Business Owner,360000.0,9,718,2,9500.0,321000.0,120,0,0.406,0,1089000.0,1
TRAD-000001,55,Salaried,785000.0,19,694,1,10900.0,1219000.0,24,3,0.943,0,579000.0,1
TRAD-000002,49,Business Owner,480000.0,22,606,1,13100.0,1048000.0,48,4,0.873,0,533000.0,0
TRAD-000003,40,Self-Employed,188000.0,1,845,0,0.0,1472000.0,60,0,1.566,0,707000.0,0
TRAD-000004,40,Salaried,570000.0,25,590,0,0.0,1065000.0,120,1,0.187,0,323000.0,1
TRAD-000005,58,Business Owner,1021000.0,29,741,2,10000.0,1540000.0,240,4,0.193,0,266000.0,1
TRAD-000006,24,Salaried,779000.0,28,655,1,12400.0,1260000.0,180,3,0.299,0,639000.0,1
TRAD-000007,51,Salaried,1215000.0,4,682,1,10000.0,191000.0,12,0,0.256,0,637000.0,1
TRAD-000008,29,Salaried,700000.0,11,565,1,4400.0,1376000.0,60,4,0.469,0,454000.0,1
TRAD-000009,25,Self-Employed,1335000.0,6,828,1,10100.0,833000.0,12,4,0.715,0,521000.0,1
TRAD-000010,44,Salaried,700000.0,13,674,2,33300.0,395000.0,36,1,0.759,0,0.0,0
TRAD-000011,63,Salaried,656000.0,29,585,0,0.0,1351000.0,36,2,0.686,1,236000.0,0
TRAD-000012,53,Salaried,292000.0,22,819,1,4900.0,1499000.0,36,1,1.913,1,726000.0,0
TRAD-000013,54,Salaried,961000.0,23,652,1,9100.0,586000.0,36,2,0.317,0,501000.0,1
TRAD-000014,52,Salaried,509000.0,12,732,2,21900.0,672000.0,48,3,0.846,0,0.0,0
TRAD-000015,55,Salaried,469000.0,28,780,2,4200.0,50000.0,60,3,0.129,0,167000.0,1
TRAD-000016,43,Salaried,1009000.0,27,745,3,6700.0,50000.0,240,4,0.082,0,685000.0,1
TRAD-000017,26,Salaried,974000.0,24,491,0,0.0,742000.0,48,0,0.19,0,414000.0,1
TRAD-000018,57,Self-Employed,967000.0,24,766,0,0.0,1415000.0,12,4,1.463,0,345000.0,0
TRAD-000019,40,Salaried,549000.0,19,690,0,0.0,527000.0,84,4,0.137,1,353000.0,0
TRAD-000020,43,Self-Employed,636000.0,2,669,1,10600.0,1828000.0,36,1,1.158,0,279000.0,0
TRAD-000021,37,Salaried,633000.0,8,690,0,0.0,767000.0,24,0,0.606,0,169000.0,0
TRAD-000022,29,Salaried,869000.0,23,547,1,8100.0,769000.0,120,1,0.2,0,92000.0,1
TRAD-000023,61,Salaried,1085000.0,9,718,1,9200.0,712000.0,120,4,0.167,0,553000.0,1
TRAD-000024,55,Salaried,753000.0,5,570,0,0.0,1538000.0,48,0,0.511,0,359000.0,0
TRAD-000025,49,Salaried,1203000.0,28,673,0,0.0,277000.0,24,0,0.115,0,477000.0,1
TRAD-000026,38,Business Owner,901000.0,14,715,0,0.0,816000.0,60,0,0.181,0,437000.0,1
TRAD-000027,57,Salaried,584000.0,25,802,1,5400.0,544000.0,60,0,0.297,0,652000.0,1
TRAD-000028,44,Salaried,882000.0,8,622,2,14800.0,535000.0,240,3,0.232,0,414000.0,1
TRAD-000029,40,Self-Employed,1128000.0,10,838,2,11100.0,923000.0,12,0,0.936,0,506000.0,1
TRAD-000030,40,Salaried,1210000.0,10,790,1,14900.0,826000.0,24,4,0.489,0,342000.0,1
TRAD-000031,30,Salaried,982000.0,11,659,1,11500.0,1584000.0,180,1,0.248,0,63000.0,1
TRAD-000032,25,Salaried,657000.0,13,595,4,18200.0,893000.0,240,2,0.4,0,244000.0,0
TRAD-000033,45,Salaried,589000.0,8,563,1,8100.0,1261000.0,84,2,0.471,1,447000.0,0
TRAD-000034,60,Salaried,811000.0,24,726,0,0.0,1012000.0,36,4,0.416,0,469000.0,1
TRAD-000035,23,Self-Employed,1119000.0,9,630,0,0.0,1812000.0,24,3,0.81,0,663000.0,1
TRAD-000036,58,Business Owner,771000.0,13,814,2,24800.0,703000.0,180,0,0.447,0,185000.0,1
TRAD-000037,57,Salaried,777000.0,25,635,2,29100.0,705000.0,84,4,0.579,1,356000.0,0
TRAD-000038,33,Self-Employed,664000.0,13,614,1,13900.0,1384000.0,48,0,0.772,0,268000.0,0
TRAD-000039,48,Self-Employed,558000.0,0,722,1,9700.0,695000.0,48,2,0.52,0,706000.0,0
TRAD-000040,28,Salaried,605000.0,0,635,1,14000.0,1224000.0,24,4,1.289,0,394000.0,0
TRAD-000041,54,Self-Employed,688000.0,13,701,1,6900.0,2420000.0,180,2,0.355,0,399000.0,1
TRAD-000042,51,Self-Employed,1131000.0,19,794,0,0.0,264000.0,12,2,0.233,0,291000.0,1
TRAD-000043,36,Business Owner,583000.0,28,711,0,0.0,1896000.0,240,1,0.163,0,244000.0,1
TRAD-000044,23,Business Owner,665000.0,3,711,1,13600.0,580000.0,24,3,0.682,0,0.0,0
TRAD-000045,63,Salaried,408000.0,16,719,1,7600.0,1769000.0,24,3,2.391,0,0.0,0
TRAD-000046,40,Salaried,851000.0,8,539,1,11000.0,1346000.0,12,4,1.737,0,345000.0,0
TRAD-000047,60,Salaried,1033000.0,13,737,0,0.0,1290000.0,60,4,0.25,0,314000.0,1
TRAD-000048,50,Salaried,1105000.0,13,715,0,0.0,802000.0,12,2,0.726,0,346000.0,1
TRAD-000049,55,Salaried,707000.0,9,785,1,5200.0,737000.0,36,1,0.436,0,535000.0,1
TRAD-000050,54,Business Owner,811000.0,0,758,1,8200.0,431000.0,180,2,0.157,0,323000.0,1
TRAD-000051,29,Salaried,607000.0,2,681,1,13400.0,904000.0,120,1,0.414,0,213000.0,0
TRAD-000052,37,Salaried,798000.0,15,798,3,5000.0,780000.0,48,1,0.32,0,248000.0,1
TRAD-000053,41,Business Owner,738000.0,6,672,3,22600.0,1024000.0,12,1,1.755,0,361000.0,0
TRAD-000054,42,Salaried,666000.0,9,723,3,42700.0,50000.0,24,2,0.807,0,205000.0,1
TRAD-000055,22,Salaried,689000.0,2,670,0,0.0,915000.0,60,1,0.266,0,566000.0,1
TRAD-000056,45,Business Owner,777000.0,1,744,2,28000.0,1721000.0,60,1,0.875,0,297000.0,0
TRAD-000057,27,Salaried,568000.0,3,664,1,4500.0,1514000.0,180,2,0.273,0,363000.0,0
TRAD-000058,53,Salaried,582000.0,11,857,1,5300.0,915000.0,60,0,0.424,0,96000.0,1
TRAD-000059,51,Salaried,1128000.0,4,892,1,8400.0,2566000.0,48,0,0.658,0,566000.0,1
TRAD-000060,61,Business Owner,1409000.0,6,783,0,0.0,525000.0,84,3,0.053,0,660000.0,1
TRAD-000061,53,Salaried,313000.0,9,846,0,0.0,844000.0,180,4,0.18,0,0.0,1
TRAD-000062,37,Salaried,297000.0,8,554,3,6200.0,50000.0,180,1,0.262,0,400000.0,0
TRAD-000063,63,Salaried,382000.0,0,565,0,0.0,638000.0,24,0,0.835,0,273000.0,0
TRAD-000064,39,Salaried,621000.0,3,669,0,0.0,2062000.0,48,2,0.83,1,371000.0,0
TRAD-000065,35,Business Owner,901000.0,28,704,2,7200.0,662000.0,240,0,0.133,0,413000.0,1
TRAD-000066,60,Salaried,816000.0,20,681,1,13800.0,50000.0,180,4,0.207,0,0.0,1
TRAD-000067,37,Business Owner,698000.0,3,544,0,0.0,1467000.0,180,0,0.14,1,490000.0,0
TRAD-000068,24,Salaried,798000.0,8,809,0,0.0,1153000.0,24,2,0.722,0,578000.0,1
TRAD-000069,41,Salaried,456000.0,11,900,1,10200.0,1440000.0,48,1,1.058,0,606000.0,1
TRAD-000070,56,Business Owner,582000.0,27,822,1,5800.0,707000.0,180,2,0.201,0,64000.0,1
TRAD-000071,29,Salaried,644000.0,26,803,1,9600.0,245000.0,24,3,0.369,0,292000.0,1
TRAD-000072,41,Salaried,206000.0,23,721,0,0.0,781000.0,120,1,0.379,0,165000.0,1
TRAD-000073,26,Business Owner,325000.0,3,620,1,14400.0,1261000.0,60,4,1.308,0,0.0,0
